Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.56     0.00     3492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      5.56     0.00     3492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      5.56     0.00     3492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      5.56     0.00     3492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      5.56     0.00     3492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      5.56     0.00     3492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      5.56     0.00     3492     0.00     0.00  void std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      5.56     0.00     3492     0.00     0.00  std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned long, int const&)
  0.00      5.56     0.00     3492     0.00     0.00  std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&)
  0.00      5.56     0.00     3492     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      5.56     0.00     3492     0.00     0.00  void std::uninitialized_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      5.56     0.00     3492     0.00     0.00  void std::__uninitialized_fill_n_a<int*, unsigned long, int, int>(int*, unsigned long, int const&, std::allocator<int>&)
  0.00      5.56     0.00     3492     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      5.56     0.00     3492     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      5.56     0.00     3492     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      5.56     0.00     3467     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_M_get_Tp_allocator()
  0.00      5.56     0.00     3453     0.00     0.00  calculate_similarity(std::string, std::string)
  0.00      5.56     0.00     3453     0.00     0.00  run_pairwise_alignment(Sequence&, Sequence&, bool, std::vector<int, std::allocator<int> >&)
  0.00      5.56     0.00     3170     0.00     0.00  operator new(unsigned long, void*)
  0.00      5.56     0.00     3127     0.00     0.00  Sequence const& std::forward<Sequence const&>(std::remove_reference<Sequence const&>::type&)
  0.00      5.56     0.00     2507     0.00     0.00  void std::_Destroy<Sequence>(Sequence*)
