Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 31.12     31.08    31.08    58716     0.00     0.00  create_matrix(std::string&, std::string&, int, int, unsigned long)
 29.93     60.96    29.89 14343306688     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 19.67     80.61    19.64 7125709028     0.00     0.00  int const& std::max<int>(int const&, int const&)
  7.21     87.81     7.20    58716     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&)
  4.54     92.34     4.53  1333300     0.00     0.00  mean_difference(std::vector<Sequence, std::allocator<Sequence> >&, std::vector<Sequence, std::allocator<Sequence> >&, int, std::vector<float, std::allocator<float> >)
  4.05     96.38     4.04    58716     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  1.47     97.85     1.47 1314246800     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
  0.86     98.71     0.86    58716     0.00     0.00  std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&)
  0.35     99.06     0.35     6338     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::push_back(Sequence const&)
  0.27     99.33     0.27    58563     0.00     0.00  nw_seq_to_seq(std::string&, std::string&, std::string&, std::string&, std::vector<int, std::allocator<int> >&, int, int)
  0.24     99.57     0.24 43573911     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.07     99.64     0.07    58563     0.00     0.00  calculate_similarity(std::string, std::string)
  0.04     99.68     0.04  4711059     0.00     0.00  Sequence::Sequence(Sequence const&)
  0.02     99.70     0.02  1333301     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&)
  0.01     99.71     0.01  8142714     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::operator[](unsigned long)
  0.01     99.72     0.01  2705220     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::size() const
  0.01     99.73     0.01  2669970     0.00     0.00  std::vector<std::vector<Sequence, std::allocator<Sequence> >, std::allocator<std::vector<Sequence, std::allocator<Sequence> > > >::operator[](unsigned long)
  0.01     99.74     0.01  2666600     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::base() const
  0.01     99.75     0.01  2666600     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.01     99.76     0.01  1333301     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.01     99.77     0.01  1333301     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.01     99.78     0.01  1333301     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.01     99.79     0.01  1333301     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&)
