Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.62     0.00    20825     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00      2.62     0.00    20825     0.00     0.00  std::vector<float, std::allocator<float> >::end() const
  0.00      2.62     0.00    20825     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      2.62     0.00    20825     0.00     0.00  std::vector<float, std::allocator<float> >::begin() const
  0.00      2.62     0.00    20825     0.00     0.00  float* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  0.00      2.62     0.00    20825     0.00     0.00  std::allocator_traits<std::allocator<float> >::select_on_container_copy_construction(std::allocator<float> const&)
  0.00      2.62     0.00    20825     0.00     0.00  std::enable_if<!std::allocator_traits<std::allocator<float> >::__select_helper<std::allocator<float> const>::value, std::allocator<float> const>::type std::allocator_traits<std::allocator<float> >::_S_select<std::allocator<float> const>(std::allocator<float> const&)
  0.00      2.62     0.00    20825     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      2.62     0.00    20825     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&)
  0.00      2.62     0.00    20825     0.00     0.00  float* std::__copy_move_a<false, float const*, float*>(float const*, float const*, float*)
  0.00      2.62     0.00    20825     0.00     0.00  float* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      2.62     0.00    20825     0.00     0.00  float* std::uninitialized_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      2.62     0.00    20825     0.00     0.00  float* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, float>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, std::allocator<float>&)
  0.00      2.62     0.00    20825     0.00     0.00  float* std::copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      2.62     0.00    11529     0.00     0.00  std::remove_reference<Sequence*&>::type&& std::move<Sequence*&>(Sequence*&)
  0.00      2.62     0.00     6710     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      2.62     0.00     6710     0.00     0.00  std::allocator<int>::~allocator()
  0.00      2.62     0.00     6710     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      2.62     0.00     5664     0.00     0.00  Sequence* std::__addressof<Sequence>(Sequence&)
  0.00      2.62     0.00     4382     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >::base() const
  0.00      2.62     0.00     3928     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.62     0.00     3843     0.00     0.00  void std::swap<Sequence*>(Sequence*&, Sequence*&)
  0.00      2.62     0.00     3762     0.00     0.00  Sequence const& std::forward<Sequence const&>(std::remove_reference<Sequence const&>::type&)
  0.00      2.62     0.00     3552     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_M_get_Tp_allocator()
  0.00      2.62     0.00     3355     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      2.62     0.00     3355     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      2.62     0.00     3355     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      2.62     0.00     3355     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      2.62     0.00     3355     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      2.62     0.00     3355     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      2.62     0.00     3355     0.00     0.00  std::allocator<int>::allocator()
  0.00      2.62     0.00     3355     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00      2.62     0.00     3355     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      2.62     0.00     3355     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      2.62     0.00     3355     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
